"cellID","usdyav","usdyav_pr","cellArea","parks","usdyav_est"
362,0,0,16237500,0,0.38248265498065
363,0,0,16237500,0,0.38248265498065
364,0,0,16237500,0,0.38248265498065
365,0,0,16237500,0,0.38248265498065
366,0.25,0.026,16237500,5770571.90129722,0.590574334102014
367,1.625,0.168,16237500,9545467.04350413,0.743366755088318
368,0.625,0.065,16237500,0,0.38248265498065
369,0.5,0.052,16237500,0,0.38248265498065
370,0.25,0.026,16237500,0,0.38248265498065
371,0,0,16237500,0,0.38248265498065
372,0.25,0.026,16237500,0,0.38248265498065
373,0,0,16237500,654922.40347653,0.404658644017268
374,5,0.517,16237500,0,0.38248265498065
375,0.875,0.09,16237500,0,0.38248265498065
376,0.125,0.013,16237500,0,0.38248265498065
377,0.875,0.09,16237500,34736.24701514,0.383649999911671
378,18.375,1.899,16237500,524113.85983546,0.400201155507787
379,5.5,0.569,16237500,0,0.38248265498065
380,3.875,0.401,16237500,0,0.38248265498065
381,0,0,16237500,0,0.38248265498065
382,0,0,16237500,0,0.38248265498065
383,0,0,16237500,0,0.38248265498065
384,0.125,0.013,16237500,0,0.38248265498065
385,0.125,0.013,16237500,1835429.30824796,0.44553349888515
386,0.5,0.052,16237500,7291273.91683974,0.650445783112227
387,1.75,0.181,16237500,236071.09408369,0.390435490513512
388,0,0,16237500,0,0.38248265498065
389,0.25,0.026,16237500,0,0.38248265498065
390,0.125,0.013,16237500,0,0.38248265498065
391,0,0,16237500,0,0.38248265498065
392,0,0,16237500,0,0.38248265498065
393,0,0,16237500,0,0.38248265498065
394,2.625,0.271,16237500,45527.10380316,0.384012837639084
395,2.125,0.22,16237500,0,0.38248265498065
396,3.375,0.349,16237500,0,0.38248265498065
397,7.375,0.762,16237500,424510.06085946,0.396816501900523
398,8.75,0.905,16237500,131186.26786626,0.386896466180668
399,21.625,2.235,16237500,0,0.38248265498065
400,0,0,16237500,0,0.38248265498065
401,0,0,16237500,0,0.38248265498065
402,0,0,16237500,0,0.38248265498065
403,0.25,0.026,16237500,0,0.38248265498065
404,0,0,16237500,11318825.388384,0.82012922081811
405,0.25,0.026,16237500,0,0.38248265498065
406,0.375,0.039,16237500,0,0.38248265498065
407,0.125,0.013,16237500,0,0.38248265498065
408,0,0,16237500,0,0.38248265498065
409,0,0,16237500,0,0.38248265498065
410,0.125,0.013,16237500,0,0.38248265498065
411,0,0,16237500,0,0.38248265498065
412,0.625,0.065,16237500,0,0.38248265498065
413,4.625,0.478,16237500,0,0.38248265498065
414,0.625,0.065,16237500,0,0.38248265498065
415,1.875,0.194,16237500,268653.57503105,0.391536726120242
416,12.75,1.318,16237500,34614.52652988,0.383645907657449
417,3.25,0.336,16237500,0,0.38248265498065
418,0,0,16237500,0,0.38248265498065
419,0,0,16237500,0,0.38248265498065
420,0,0,16237500,0,0.38248265498065
421,0.125,0.013,16237500,0,0.38248265498065
422,0.375,0.039,16237500,4923327.11899869,0.558164741741428
423,0.5,0.052,16237500,83516.14401043,0.385290959376356
